date,GBP
2012-11-20,0.80465
2012-11-21,0.8037
2012-11-22,0.8077
2012-11-23,0.8101
2012-11-26,0.80995
2012-11-27,0.8081
2012-11-28,0.80687
2012-11-29,0.81053
2012-11-30,0.8108
2012-12-03,0.8121
2012-12-04,0.8123
2012-12-05,0.8119
2012-12-06,0.81135
2012-12-07,0.8061
2012-12-10,0.8044
2012-12-11,0.8074
2012-12-12,0.80775
2012-12-13,0.81005
2012-12-14,0.8115
2012-12-17,0.812
2012-12-18,0.8128
2012-12-19,0.8161
2012-12-20,0.8146
2012-12-21,0.8142
2012-12-24,0.8175
2012-12-27,0.8199
2012-12-28,0.81695
2012-12-31,0.8161
2013-01-02,0.814
2013-01-03,0.81075
2013-01-04,0.8123
2013-01-07,0.8117
2013-01-08,0.8145
2013-01-09,0.81505
2013-01-10,0.8172
2013-01-11,0.8232
2013-01-14,0.8312
2013-01-15,0.83025
2013-01-16,0.8301
2013-01-17,0.8341
2013-01-18,0.8372
2013-01-21,0.839
2013-01-22,0.83965
2013-01-23,0.8407
2013-01-24,0.8439
2013-01-25,0.8514
2013-01-28,0.8545
2013-01-29,0.8536
2013-01-30,0.8583
2013-01-31,0.857
2013-02-01,0.8617
2013-02-04,0.8619
2013-02-05,0.8599
2013-02-06,0.8631
2013-02-07,0.8624
2013-02-08,0.84635
2013-02-11,0.8535
2013-02-12,0.8615
2013-02-13,0.866
2013-02-14,0.8594
2013-02-15,0.8604
2013-02-18,0.8619
2013-02-19,0.8631
2013-02-20,0.8733
2013-02-21,0.8642
2013-02-22,0.86205
2013-02-25,0.8789
2013-02-26,0.8633
2013-02-27,0.86405
2013-02-28,0.863
2013-03-01,0.8647
2013-03-04,0.864
2013-03-05,0.8598
2013-03-06,0.8644
2013-03-07,0.865
2013-03-08,0.871
2013-03-11,0.87335
2013-03-12,0.8763
2013-03-13,0.8678
2013-03-14,0.8657
2013-03-15,0.864
2013-03-18,0.8562
2013-03-19,0.85585
2013-03-20,0.8552
2013-03-21,0.85165
2013-03-22,0.8528
2013-03-25,0.8516
2013-03-26,0.849
2013-03-27,0.84515
2013-03-28,0.8456
2013-04-02,0.8469
2013-04-03,0.8484
2013-04-04,0.84745
2013-04-05,0.8491
2013-04-08,0.85095
2013-04-09,0.85175
2013-04-10,0.8548
2013-04-11,0.852
2013-04-12,0.8497
2013-04-15,0.8529
2013-04-16,0.8569
2013-04-17,0.8613
2013-04-18,0.8548
2013-04-19,0.8544
2013-04-22,0.8563
2013-04-23,0.85165
2013-04-24,0.8525
2013-04-25,0.8458
2013-04-26,0.84
2013-04-29,0.844
2013-04-30,0.8443
2013-05-02,0.8466
2013-05-03,0.8431
2013-05-06,0.8431
2013-05-07,0.8442
2013-05-08,0.8469
2013-05-09,0.84435
2013-05-10,0.8443
2013-05-13,0.8441
2013-05-14,0.84815
2013-05-15,0.8464
2013-05-16,0.8455
2013-05-17,0.84475
2013-05-20,0.8456
2013-05-21,0.8491
2013-05-22,0.8557
2013-05-23,0.85515
2013-05-24,0.85695
2013-05-27,0.8556
2013-05-28,0.8553
2013-05-29,0.85695
2013-05-30,0.8557
2013-05-31,0.85365
2013-06-03,0.8518
2013-06-04,0.8558
2013-06-05,0.85105
2013-06-06,0.8491
2013-06-07,0.8513
2013-06-10,0.8504
2013-06-11,0.8539
2013-06-12,0.84825
2013-06-13,0.8495
2013-06-14,0.8515
2013-06-17,0.84755
2013-06-18,0.8562
2013-06-19,0.8558
2013-06-20,0.8545
2013-06-21,0.8533
2013-06-24,0.85115
2013-06-25,0.8486
2013-06-26,0.8482
2013-06-27,0.8531
2013-06-28,0.8572
2013-07-01,0.85625
2013-07-02,0.8579
2013-07-03,0.8492
2013-07-04,0.8598
2013-07-05,0.86055
2013-07-08,0.8616
2013-07-09,0.865
2013-07-10,0.8602
2013-07-11,0.8629
2013-07-12,0.8627
2013-07-15,0.8647
2013-07-16,0.8693
2013-07-17,0.86315
2013-07-18,0.8609
2013-07-19,0.85995
2013-07-22,0.859
2013-07-23,0.85955
2013-07-24,0.8626
